Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,79,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,"Softility, Inc.","Hyderabad, Telangana, India",Mid-Senior level,Software Development,134,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,37,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,60,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Senior AI/ML Engineer,Health Catalyst,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Data Science - GO/JC/1412/2025,Golden Opportunities,"Hyderabad, Telangana, India",Mid-Senior level,Staffing and Recruiting,58,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,39,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,43,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,27,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",Mid-Senior level,IT Services and IT Consulting,29,AI/ML Engineer,AI Adoption Affected
Senior AI/ML Engineer,Landeed | YC,"Hyderabad, Telangana, India",Mid-Senior level,Real Estate,110,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Emerson,"Noida, Uttar Pradesh, India",Mid-Senior level,Automation Machinery Manufacturing,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,BIG Language Solutions,"Noida, Uttar Pradesh, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer  (Immediate joinner ),Onelab Ventures,"Pune, Maharashtra, India",Mid-Senior level,Software Development,89,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,MangoApps,"Pune, Maharashtra, India",Mid-Senior level,Software Development,151,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,NonStop io Technologies,"Pune, Maharashtra, India",Mid-Senior level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Blueflame Labs,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI Engineer,Awign Expert,"Chennai, Tamil Nadu, India",Mid-Senior level,Hospitals and Health Care,180,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Hitachi Energy,"Chennai, Tamil Nadu, India",Mid-Senior level,"Appliances, Electrical, and Electronics Manufacturing and IT Services and IT Consulting",200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,VidPro Consultancy Services,"Pune, Maharashtra, India",Mid-Senior level,Human Resources Services,25,AI/ML Engineer,AI Adoption Affected
AI/ML Engineering Manager,Altraize,"Pune, Maharashtra, India",Mid-Senior level,Outsourcing and Offshoring Consulting,25,AI/ML Engineer,AI Adoption Affected
AI Engineer,Arting Digital,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Kreeda Labs,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AIML Engineer,IntraEdge,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Optimal Virtual Employee,"Noida, Uttar Pradesh, India",Mid-Senior level,IT Services and IT Consulting,141,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer - Specialist,Equifax,"Pune, Maharashtra, India",Mid-Senior level,Financial Services,132,AI/ML Engineer,AI Adoption Affected
AI & ML Engineer – GenAI & ML Solutions,Crisil,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,134,AI/ML Engineer,AI Adoption Affected
AI/ML Software Engineer,Capella Infotech Solutions,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,38,AI/ML Engineer,Automation Affected
AI/ML Engineer,Datanetiix Solutions Inc.,"Chennai, Tamil Nadu, India",Mid-Senior level,Staffing and Recruiting,137,AI/ML Engineer,AI Adoption Affected
Gen AI – Python AIML Engineer,It’s Digital (Focus IT Solutions),"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,42,AI/ML Engineer,AI Adoption Affected
Artificial Intelligence Engineer,R Systems,"Noida, Uttar Pradesh, India",Mid-Senior level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Artificial Intelligence Engineer,GEDU Services,"Noida, Uttar Pradesh, India",Mid-Senior level,Education Administration Programs,200,AI/ML Engineer,AI Adoption Affected
AI Engineer - Machine Learning/Deep Learning Models,Arting Digital,"Pune, Maharashtra, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",124,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,TinyCheque,"Pune, Maharashtra, India",Mid-Senior level,Venture Capital and Private Equity Principals,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer - R/Python,DHI Solutions,"Pune, Maharashtra, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",27,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Noida, Uttar Pradesh, India",Mid-Senior level,IT Services and IT Consulting,50,AI/ML Engineer,AI Adoption Affected
Technology and Innovation - AI ML Engineer,Riveron,"Pune, Maharashtra, India",Mid-Senior level,Business Consulting and Services,182,AI/ML Engineer,AI Adoption Affected
Google Cloud AI/ML Engineer,Evonence,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,89,AI/ML Engineer,AI Adoption Affected
AI Engineer ,TekValue IT Solutions,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,46,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer - LLM Models,Unipart,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",98,AI/ML Engineer,AI Adoption Affected
Senior AI and ML Engineer,NVIDIA,"Pune, Maharashtra, India",Mid-Senior level,Computer Hardware Manufacturing,200,AI/ML Engineer,AI Adoption Affected
Chief AI/ML Engineer,Mulya Technologies,"Noida, Uttar Pradesh, India",Mid-Senior level,Semiconductor Manufacturing,43,AI/ML Engineer,AI Adoption Affected
Chief AI/ML Engineer,Mulya Technologies,"Noida, Uttar Pradesh, India",Mid-Senior level,Semiconductor Manufacturing,48,AI/ML Engineer,AI Adoption Affected
Chief AI/ML Engineer,Mulya Technologies,"Noida, Uttar Pradesh, India",Mid-Senior level,Semiconductor Manufacturing,38,AI/ML Engineer,AI Adoption Affected
Sr. AI ML Engineer,LatentBridge,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",91,AI/ML Engineer,AI Adoption Affected
Sr. AI ML Engineer,LatentBridge,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",96,AI/ML Engineer,AI Adoption Affected
Data Scientist/ML Engineer - Intermediate,UPS,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,36,AI/ML Engineer,AI Adoption Affected
AI Lead - Python/Machine Learning,HashXpert,"Pune, Maharashtra, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,45,AI/ML Engineer,AI Adoption Affected
Senior Software Engineer (AI/ML),Neilsoft Inc.,"Pune, Maharashtra, India",Mid-Senior level,Design Services,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer/Lead,Codvo.ai,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,93,AI/ML Engineer,AI Adoption Affected
MarsDevs - AI/ML Engineer - ETL/PySpark,MarsDevs,"Pune, Maharashtra, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",25,AI/ML Engineer,AI Adoption Affected
Data Scientist/ML Engineer - Intermediate,UPS,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,33,AI/ML Engineer,AI Adoption Affected
AI/ML &amp; Data Engineer - Congruent Software,Congruent Software Inc.,"Chennai, Tamil Nadu, India",Mid-Senior level,Staffing and Recruiting,25,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Data Scientist/ML Engineer - Intermediate,UPS,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,29,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Chennai, Tamil Nadu, India",Mid-Senior level,IT Services and IT Consulting,43,AI/ML Engineer,AI Adoption Affected
AI/ML - Senior Engineer,Iris Software Inc.,"Noida, Uttar Pradesh, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Senior Software Engineer (AI/ML Engineer),DHL,"Chennai, Tamil Nadu, India",Mid-Senior level,"Transportation, Logistics, Supply Chain and Storage",105,AI/ML Engineer,AI Adoption Affected
Senior Software Engineer (AI/ML Engineer),DHL,"Chennai, Tamil Nadu, India",Mid-Senior level,"Transportation, Logistics, Supply Chain and Storage",156,AI/ML Engineer,AI Adoption Affected
AI ML Engineer,Arrow Electronics,"Noida, Uttar Pradesh, India",Mid-Senior level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
Gigaforce - NLP/Generative AI Engineer - Python/LLM,GIGAFORCE,"Noida, Uttar Pradesh, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",26,AI/ML Engineer,AI Adoption Affected
AI/ML Principal Engineer,GE Vernova,"Noida, Uttar Pradesh, India",Mid-Senior level,Electric Power Generation,200,AI/ML Engineer,AI Adoption Affected
Consultant/ Sr. Consultant - Generative AI (2025),Fresh Gravity,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
Principal AI/ML Engineer,Rapid7,"Pune, Maharashtra, India",Mid-Senior level,Computer and Network Security,31,AI/ML Engineer,AI Adoption Affected
Left Right Mind - AI/ML Engineer - Data Modeling,Left Right Mind,"Pune, Maharashtra, India",Mid-Senior level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",84,AI/ML Engineer,AI Adoption Affected
Senior AI ML Engineer,3Pillar,"Noida, Uttar Pradesh, India",Mid-Senior level,Software Development,181,AI/ML Engineer,Low AI Impact
Senior AI & ML Engineer – GenAI & ML Solutions,Crisil,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI-Senior Computer vision-Engineer-Chennai,The Banyan HR Consults Chennai,"Chennai, Tamil Nadu, India",Mid-Senior level,Artificial Rubber and Synthetic Fiber Manufacturing and IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI ML Solution Engineer_VD30625,"Enterprise Minds, Inc","Pune, Maharashtra, India",Mid-Senior level,Software Development,200,AI/ML Engineer,AI Adoption Affected
Senior AI/ML Engineer,HID,"Chennai, Tamil Nadu, India",Mid-Senior level,Security and Investigations,25,AI/ML Engineer,AI Adoption Affected
Graphic Designer / UI/UX Designer,Capgemini,"Sion, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cloud Architect,AI Adoption Affected
UI/UX Designer - Figma/Sketch/Adobe XD,HeapTrace Technology,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",182,Cloud Architect,Low AI Impact
UI/UX Designer,Codesis Technologies Private Limited,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cloud Architect,Low AI Impact
UI/UX Product Designer,Azodha,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",200,Cloud Architect,Low AI Impact
Accelon Technologies - UI/UX Designer - Figma/Sketch,Accelon Technologies Private Limited,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",200,Cloud Architect,Low AI Impact
UI/UX Designer - Product,Cloudesign,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cloud Architect,Low AI Impact
User Experience Designer,Tata Consultancy Services,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cloud Architect,Low AI Impact
UI/UX Graphic Designer,Tibro,"Mumbai, Maharashtra, India",Mid-Senior level,Travel Arrangements,97,Cloud Architect,Low AI Impact
User Experience Designer,Trackk,"Mumbai, Maharashtra, India",Mid-Senior level,Financial Services,200,Cloud Architect,Low AI Impact
Senior UI UX Designer (Freelancer),Schbang,"Mumbai, Maharashtra, India",Mid-Senior level,Advertising Services,200,Cloud Architect,Low AI Impact
Graphics+UI/UX Designer,Bonanza Portfolio Ltd,"Mumbai, Maharashtra, India",Mid-Senior level,Financial Services,200,Cloud Architect,Low AI Impact
Senior UI/UX Designer (3-5 Years),Schbang,"Mumbai, Maharashtra, India",Mid-Senior level,Advertising Services,200,Cloud Architect,Low AI Impact
UI/ UX Lead,Weekday AI (YC W21),"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,25,Cloud Architect,Low AI Impact
Senior Product Designer -UI/UX,TekIT Software Solutions Pvt. Ltd. (India & USA),"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,27,Cloud Architect,Low AI Impact
WD_UI UX_Consultant_Q3Y26,Infosys,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,132,Cloud Architect,Low AI Impact
Senior User Experience Designer,Think Design Collaborative,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cloud Architect,Low AI Impact
Senior UI/ UX Designer,AKQA,"Mumbai, Maharashtra, India",Mid-Senior level,Design Services,161,Cloud Architect,Low AI Impact
UI/UX Designer,Uplers,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",200,Cloud Architect,Low AI Impact
Senior Ui/Ux Product Designer,VidPro Consultancy Services,"Pune, Maharashtra, India",Mid-Senior level,Human Resources Services,25,Cloud Architect,Low AI Impact
Senior UI UX Designer ,AKQA,"Mumbai, Maharashtra, India",Mid-Senior level,Design Services,200,Cloud Architect,Low AI Impact
Senior UX Designer,Momentive Software,"Pune, Maharashtra, India",Mid-Senior level,Software Development,111,Cloud Architect,Low AI Impact
UX/UI Designer II (Remote),Uplers,"Pune, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",197,Cloud Architect,Low AI Impact
UI &#8211; Graphic Designer,Swan Solutions & Services Pvt Ltd.,"Mumbai, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,25,Cloud Architect,Low AI Impact
Senior Web/Mobile App Designer,OM SOFTWARE PVT. LTD,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,60,Cloud Architect,Low AI Impact
Senior Product Designer,Avoma,"Pune, Maharashtra, India",Mid-Senior level,Software Development,200,Cloud Architect,AI Adoption Affected
Product Designer,Uplers,"Mumbai, Maharashtra, India",Mid-Senior level,"Technology, Information and Internet",31,Cloud Architect,Low AI Impact
Senior UX Designer,Dentsu Global Services,"Pune, Maharashtra, India",Mid-Senior level,Advertising Services,200,Cloud Architect,Low AI Impact
Associate Creative Director - Visual and Motion Design ,AKQA,"Mumbai, Maharashtra, India",Mid-Senior level,Design Services,104,Cloud Architect,Low AI Impact
Salesforce UI/UX Developer,FPS Innovation Labs,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,34,Cloud Architect,Low AI Impact
Angular JS Lead,Persistent Systems,"Pune, Maharashtra, India",Mid-Senior level,IT Services and IT Consulting,200,Cloud Architect,Low AI Impact
AWS Admin And AWS Architect,Infosys,"Pune, Maharashtra, India",Entry level,IT Services and IT Consulting,190,Cloud Architect,Low AI Impact
